'ABR Chesapeake Fund V','Alex. Brown Realty',35.30,-23.70,0.83,83.00,0.00,20.00
'ABRY I','ABRY Partners',433.80,7.50,1.48,40.76,107.41,95.12
'ABRY II','ABRY Partners',502.50,8.80,1.40,106.28,34.08,92.31
'ABRY IV','ABRY Partners',1000.00,5.79,1.09,108.66,0.00,70.92
'ABRY Senior Equity III','ABRY Partners',40.00,-5.70,0.78,67.26,11.14,87.03
'ABRY Senior Equity IV','ABRY Partners',65.00,12.40,1.78,0.12,177.40,100.00
'ABRY V','ABRY Partners',150.00,9.20,1.58,29.90,127.60,100.00
'ABRY VI','ABRY Partners',118.00,25.34,3.32,28.10,303.78,90.33
'ABRY VII','ABRY Partners',10.00,21.80,2.09,94.00,115.00,100.00
'ABRY VIII','ABRY Partners',25.20,20.50,1.57,78.00,79.00,85.00
'ABS Capital II','ABS Capital Partners',10.00,4.30,1.27,21.00,106.00,100.00
'ABS Capital III','ABS Capital Partners',50.00,13.30,1.82,0.00,182.00,92.00
'ABS Capital IV','ABS Capital Partners',40.00,14.00,1.72,109.00,63.00,90.00
'ABS Capital V','ABS Capital Partners',65.00,11.80,1.41,122.00,19.00,81.00
'ABS Capital VI','ABS Capital Partners',83.20,7.00,1.12,112.00,0.00,60.00
'ABS Ventures II','ABS Ventures',600.00,30.20,1.88,67.79,120.64,68.30
'AC Capitales Real Estate Investment Fund II','AC Capitales',51.50,8.90,1.16,109.71,6.00,85.62
'ACM Permanent Crops','Agriculture Capital Management',100.00,13.00,1.16,102.00,14.00,35.00
'ACM Permanent Crops Fund II','Agriculture Capital Management',369.00,3.92,1.23,0.00,122.80,100.00
'ACON Equity Partners III','ACON Investments',254.80,3.49,1.28,10.93,116.66,100.00
'ACON Latin America Opportunities Fund IV','ACON Investments',281.90,14.51,1.59,34.31,124.61,100.00
'ACTIV investments Fund','DRC Capital',191.80,21.32,1.29,107.20,21.54,70.00
'ACTO Mezzanine','Andera Partners',1200.00,13.80,1.48,11.26,137.18,101.59
'ADV Opportunities Fund I','ADV Partners',1500.00,9.30,1.26,115.02,10.98,74.17
'AEA Fund II','AEA Investors',35.00,64.00,4.92,0.00,492.00,71.00
'AEA Fund III','AEA Investors',250.00,47.80,3.45,0.00,344.71,100.20
'AEA Fund IV','AEA Investors',581.00,4.20,1.27,0.00,127.22,90.55
'AEA Fund V','AEA Investors',776.00,18.40,2.94,1.17,292.93,72.85
'AEA Investors Small Business Fund','AEA Investors',750.00,16.20,1.63,6.66,156.82,92.53
'AEA Investors Small Business Fund II','AEA Investors',950.00,16.00,1.57,69.08,88.09,106.68
'AEW Partners I','AEW Capital Management',950.00,17.30,2.05,4.14,200.60,91.68
'AEW Partners II','AEW Capital Management',1350.00,19.80,2.09,2.05,206.65,88.81
'AEW Partners III','AEW Capital Management',1600.00,14.50,1.75,42.00,133.00,109.59
'AEW Partners IV','AEW Capital Management',1900.00,8.70,1.26,86.95,39.05,106.46
'AEW Partners Real Estate Fund VIII','AEW Capital Management',154.00,39.70,1.89,0.00,189.40,94.00
'AEW Partners V','AEW Capital Management',314.00,6.70,1.17,0.00,116.70,98.20
'AEW Partners VI','AEW Capital Management',427.00,-9.10,0.64,0.00,63.70,84.10
'AEW Partners VII','AEW Capital Management',449.00,20.20,2.21,0.10,220.50,100.00
'AEW Senior Housing Investors','AEW Capital Management',286.00,17.20,2.91,0.50,290.90,100.00
'AEW Senior Housing Investors II','AEW Capital Management',418.00,-1.50,0.91,12.24,79.25,97.30
'AEW Senior Housing Investors III','AEW Capital Management',530.70,8.50,1.43,105.81,37.60,97.18
'AEW Value Investors Asia II','AEW Capital Management',81.80,6.40,1.67,0.00,166.88,100.00
'AEW Value Investors II','AEW Capital Management',45.40,26.31,4.96,0.00,496.41,100.00
'AG Asia Realty Fund II',"'Angelo, Gordon & Co'",57.80,11.49,2.26,94.40,131.43,100.00
'AG Asia Realty Fund III',"'Angelo, Gordon & Co'",143.10,-1.16,0.94,94.00,0.00,87.17
'AG Capital Recovery Partners',"'Angelo, Gordon & Co'",42.05,35.00,1.58,0.00,158.14,85.72
'AG Capital Recovery Partners III',"'Angelo, Gordon & Co'",335.00,-100.00,0.00,0.00,0.00,68.47
'AG Capital Recovery Partners V',"'Angelo, Gordon & Co'",248.00,8.20,1.28,108.58,19.87,106.19
'AG Capital Recovery Partners VI',"'Angelo, Gordon & Co'",543.30,-3.70,0.96,63.94,31.98,78.51
'AG Capital Recovery Partners VII',"'Angelo, Gordon & Co'",751.40,9.40,1.28,92.40,36.09,78.06
'AG Core Plus Realty Fund II',"'Angelo, Gordon & Co'",515.00,12.00,1.22,115.83,6.14,55.80
'AG Core Plus Realty IV',"'Angelo, Gordon & Co'",90.45,-4.10,0.92,0.00,92.00,83.00
'AG Energy Credit Opportunities Fund',"'Angelo, Gordon & Co'",273.08,6.00,1.36,5.00,131.00,89.80
'AG Net Lease Realty Fund III',"'Angelo, Gordon & Co'",550.00,10.50,1.29,113.00,16.00,106.30
'AG Private Equity Partners IV',"'Angelo, Gordon & Co'",680.00,27.80,1.60,152.31,7.55,59.76
'AG Private Equity Partners IV Reserve Fund',"'Angelo, Gordon & Co'",510.00,51.80,3.01,0.00,300.90,98.30
'AG Realty Fund',"'Angelo, Gordon & Co'",1118.80,4.80,1.30,0.00,130.10,97.10
'AG Realty Fund II',"'Angelo, Gordon & Co'",1163.00,20.03,2.31,1.60,229.60,99.60
'AG Realty Fund III',"'Angelo, Gordon & Co'",1338.20,13.74,1.79,20.00,159.10,101.60
'AG Realty Fund IX',"'Angelo, Gordon & Co'",2061.40,18.19,1.85,80.10,105.10,98.80
'AG Realty Fund V',"'Angelo, Gordon & Co'",3200.00,7.84,1.10,109.95,0.00,73.41
'AG Realty Fund VII',"'Angelo, Gordon & Co'",285.80,13.14,1.77,11.61,165.46,107.01
'AG Realty Fund VIII',"'Angelo, Gordon & Co'",350.00,18.63,2.10,106.49,103.79,108.97
'AGRE U.S. Real Estate Fund','Apollo Global Management',443.10,9.01,1.14,113.66,0.00,69.29
'AIG Emerging Europe Infrastructure Fund','Mid Europa Partners',875.00,10.00,1.77,0.00,176.60,100.00
'AIG French Property Fund','AIG Global Real Estate',288.00,11.80,1.89,0.00,189.49,100.00
'AIG India Sectoral Equity Fund','PineBridge Investments',505.00,8.80,1.48,0.00,148.25,100.00
'AION Capital Partners','AION Capital Partners',360.50,25.02,1.66,0.22,165.39,100.00
'AIP Longhorn Co-Invest I','American Industrial Partners',614.90,4.40,1.03,103.09,0.00,28.46
'AKR Aura','Auratum Real Estate',686.10,1.95,1.12,2.60,109.58,89.71
'AKR Verto','Auratum Real Estate',424.00,15.40,1.79,48.52,130.54,90.68
'ALPHA 2001','Alpha Associates',550.00,13.50,1.43,75.97,67.16,91.33
'AM Invest Morocco','ATLAMED',188.00,19.55,2.14,14.15,199.59,94.00
'AM Pappas Life Science Ventures I','Pappas Capital',371.00,17.86,1.88,140.33,48.04,93.22
'AM Pappas Life Science Ventures II','Pappas Capital',515.00,9.06,1.11,107.61,3.69,58.00
'AM Pappas Life Science Ventures IV','Pappas Capital',342.00,0.32,1.02,0.00,101.80,100.00
'AMERRA Agri Fund II','AMERRA',540.50,13.07,1.42,0.00,142.46,89.66
'AMERRA Agri Fund III','AMERRA',590.00,13.93,1.40,55.64,84.00,96.34
'AMP Business Development Fund','AMP Capital Investors',568.00,5.73,1.26,0.00,126.02,100.00
'AMP Capital Global Infrastructure Fund','AMP Capital Investors',616.00,17.52,1.59,7.95,150.87,91.80
'AMP Pencarrow Fund','Pencarrow Private Equity',846.90,15.67,1.27,90.99,35.72,95.17
'AMV Partners I','Accuitive Medical Ventures',600.00,18.42,1.68,0.00,168.45,100.00
'AMV Partners II','Accuitive Medical Ventures',800.00,19.10,1.54,0.00,154.13,100.00
'ANL Kiinteistöt I Ky','Catella Capital',1000.00,29.14,1.57,0.00,156.71,59.20
'AP Cayman Partners II','Advantage Partners',1000.00,28.68,1.58,0.00,158.02,70.83
'APA / Fostin - Fund','Apax Partners',756.00,2.87,1.12,0.19,112.01,100.00
'APAC Development Fund 1','APAC Capital Partners',2000.00,7.45,1.42,0.01,142.32,100.00
'APEH Europe III','Idinvest Partners',1100.00,8.50,1.24,18.78,104.72,119.73
'APEH Europe IV','Idinvest Partners',518.00,3.62,1.21,0.00,120.62,100.00
'APEH Europe V','Idinvest Partners',533.00,17.50,1.52,0.00,151.96,95.00
'APEH Europe VI','Idinvest Partners',794.00,8.20,1.34,3.36,130.22,94.50
'APEH France Investissement 1','Idinvest Partners',1014.00,20.20,1.67,20.04,146.67,100.00
'APEH France Investissement 2','Idinvest Partners',1307.70,9.47,1.15,101.73,13.55,80.44
'ARCH Venture Fund II','ARCH Venture Partners',650.00,14.50,1.21,36.37,84.80,25.00
'ARCH Venture Fund VI','ARCH Venture Partners',559.00,8.79,1.55,92.57,62.71,97.00
'ARCH Venture Fund VII','ARCH Venture Partners',1026.00,7.84,1.19,101.81,17.04,96.00
'ARCH Venture Fund VIII','ARCH Venture Partners',350.00,2.27,1.16,0.00,116.27,84.50
'ARCap Investors I','Hunt Real Estate Capital',550.00,7.18,1.46,86.92,59.22,89.50
'AREA Real Estate Finance Corporation','Ares Management',120.00,3.27,1.22,113.21,8.96,67.00
'ARNO Special Opportunities Fund','Value Italy',30.00,23.00,1.97,0.00,196.98,100.00
'ARX CEE III','Arx Equity Partners',33.00,25.00,2.15,0.00,215.47,100.00
'ASF Sunrise Co-Investment','Ardian',61.00,3.44,1.32,0.00,132.20,100.00
'ASF V-B Park Co-Investment','Ardian',1329.00,11.72,1.27,110.85,15.86,85.14
'ASF VI','Ardian',333.00,25.64,1.60,0.00,159.88,90.00
'ASF VI CDPQ Co-Investment','Ardian',1257.00,12.80,1.52,2.74,149.57,94.00
'ASF VI Energy','Ardian',1265.00,15.00,1.60,32.25,127.41,94.25
'ATP Fund I','ATP Fund',713.00,11.46,1.35,34.50,100.95,112.17
'ATP Private Equity Partners I','ATP Private Equity Partners',100.00,39.70,3.42,0.00,342.40,92.30
'ATP Private Equity Partners II','ATP Private Equity Partners',550.00,34.00,3.30,0.00,330.00,99.00
'ATP Private Equity Partners III','ATP Private Equity Partners',199.93,28.00,1.52,0.00,151.85,100.00
'ATP Private Equity Partners IV','ATP Private Equity Partners',90.80,15.20,2.37,0.00,237.12,81.85
'AXA Co-investment Fund III','Ardian',826.00,8.32,1.19,87.16,31.77,79.80
'AXA Early Secondary Fund II','Ardian',167.43,12.74,1.34,102.44,31.39,100.38
'AXA Early Secondary Fund III','Ardian',9.44,15.21,1.55,0.00,155.16,100.00
'AXA Expansion I','Ardian',25.46,13.56,1.67,0.00,166.69,100.00
'AXA Expansion II','Ardian',46.03,7.00,1.73,12.68,160.35,73.31
'AXA Infrastructure Generation I','Ardian',44.39,-0.19,0.98,76.29,22.00,100.00
'AXA Infrastructure Generation II','Ardian',40.30,43.50,1.77,0.00,177.12,92.83
'AXA Infrastructure Generation III','Ardian',100.80,3.47,1.20,0.00,120.36,98.50
'AXA LBO Fund I','Ardian',100.40,4.76,1.36,4.55,131.88,99.50
'AXA LBO Fund II','Ardian',96.80,34.13,2.42,32.44,209.97,97.00
'AXA LBO Fund III','Ardian',535.00,5.40,1.23,55.99,66.67,101.87
'AXA LBO Fund IV','Ardian',820.00,-1.70,0.98,45.35,52.50,148.00
'AXA Secondary Fund I','Ardian',504.00,17.00,1.30,120.00,10.00,65.00
'AXA Secondary Fund III','Ardian',95.95,9.90,1.56,0.00,155.60,100.00
'AXA Secondary Fund IV','Ardian',1411.00,11.50,1.26,117.00,9.00,91.00
'Abacus Multi-Family Partners I','Abacus Capital Group',52.19,13.30,1.63,0.00,163.19,83.50
'Abbott Capital Private Equity Fund I','Abbott Capital Management',55.00,2.83,1.34,44.70,89.70,92.00
'Abbott Capital Private Equity Fund II','Abbott Capital Management',175.00,12.09,1.72,36.02,135.60,95.20
'Abbott Capital Private Equity Fund III','Abbott Capital Management',35.26,64.80,1.40,0.00,140.00,100.00
'Abbott Capital Private Equity Fund IV','Abbott Capital Management',303.30,5.30,1.39,3.75,134.81,83.08
'Abbott Capital Private Equity Fund VI','Abbott Capital Management',40.40,19.90,3.86,0.00,385.60,100.00
'Abbott Capital Private Equity Fund VII','Abbott Capital Management',30.30,17.13,1.79,165.28,13.93,96.45
'Abbott Capital Private Equity Investors 2007','Abbott Capital Management',241.65,16.23,1.63,0.00,163.34,93.30
'Abbott Capital Private Equity Investors 2008','Abbott Capital Management',388.22,4.40,1.26,15.72,110.11,93.20
'Abbott Capital Private Equity Investors 2009','Abbott Capital Management',442.88,8.47,1.48,34.66,113.11,92.00
'Abbott Capital Private Equity Investors 2010','Abbott Capital Management',187.10,13.56,1.23,121.22,2.25,39.50
'Abbott Capital Private Equity Investors 2011','Abbott Capital Management',111.24,1.09,1.07,59.94,47.02,89.00
'Abbott Capital Private Equity Investors 2012','Abbott Capital Management',110.15,6.67,1.33,95.63,37.65,68.50
'Abbott Capital Private Equity Investors 2014','Abbott Capital Management',1133.00,10.00,1.28,0.00,128.00,92.80
'Abbott Capital Private Equity Investors 2015','Abbott Capital Management',441.00,7.30,1.43,1.78,140.80,81.73
'Abbott Secondary Opportunities','Abbott Capital Management',87.76,27.40,3.02,0.00,302.00,100.00
'Abbott Select Buyouts Fund','Abbott Capital Management',31.00,44.80,3.58,0.00,358.33,100.00
'Abbott Select Buyouts II','Abbott Capital Management',107.00,-0.90,0.93,0.00,92.50,100.00
'Aberdare Ventures IV','Aberdare Ventures',350.00,0.74,1.11,34.12,77.22,100.01
'Aberdeen Energy & Resources Partners II','Aberdeen Standard Investments',400.00,39.40,5.05,88.77,415.86,100.00
'Aberdeen Energy & Resources Partners III','Aberdeen Standard Investments',410.00,29.20,2.29,227.43,1.83,98.00
'Aberdeen European Opportunities Property Fund of Funds','Aberdeen Standard Investments',386.00,25.02,1.59,0.00,159.33,100.19
'Aberdeen Global Infrastructure Partners','SL Capital Partners',621.00,-2.09,0.90,24.13,65.58,100.00
'Aberdeen Real Assets Partners','Aberdeen Standard Investments',80.75,12.47,1.26,43.72,81.97,100.00
'Aberdeen Real Estate Partners II','Aberdeen Standard Investments',148.64,6.06,1.24,68.41,55.97,92.85
'Aberdeen US Private Equity IV','Aberdeen Standard Investments',276.00,15.01,1.76,2.83,172.70,95.43
'Aberdeen US Private Equity V','Aberdeen Standard Investments',264.00,22.93,2.40,113.64,125.97,66.56
'Aberdeen US Private Equity VI','Aberdeen Standard Investments',290.00,15.20,1.75,29.43,145.35,83.56
'Aberdeen Venture Partners IX','Aberdeen Standard Investments',10000.00,13.21,1.43,87.65,55.65,70.73
'Aberdeen Venture Partners V','Aberdeen Standard Investments',100.00,12.80,1.38,61.29,76.43,76.66
'Aberdeen Venture Partners VI','Aberdeen Standard Investments',233.00,13.03,1.12,112.44,0.00,62.51
'Aberdeen Venture Partners VIII','Aberdeen Standard Investments',10800.00,14.08,1.26,113.30,12.20,34.06
'Abingworth Bioventures IIA','Abingworth Management',3.00,38.50,2.04,204.20,0.00,50.00
'Abingworth Bioventures III','Abingworth Management',1048.50,14.10,1.65,3.00,162.00,96.00
'Abingworth Bioventures IV','Abingworth Management',1945.35,10.60,1.67,17.00,150.00,100.00
'Abingworth Bioventures V','Abingworth Management',2190.45,12.10,1.66,30.00,136.00,99.00
'Abingworth Bioventures V Co-Invest Growth Equity Fund','Abingworth Management',1823.37,17.20,1.73,86.00,87.00,97.00
'Abingworth Ventures','Abingworth Management',486.77,6.59,1.48,3.37,144.37,95.10
'Abris CEE Mid Market Fund III','Abris Capital Partners',1070.26,14.40,2.00,19.19,181.28,87.39
'Accel Europe Investors 2001','Accel',285.67,15.45,1.53,0.16,152.95,99.05
'Accel IV','Accel',207.50,13.00,1.65,0.00,164.68,97.10
'Accel V','Accel',710.52,7.25,1.39,0.22,138.61,92.50
'Accel VI - S','Accel',738.57,13.43,1.63,5.10,158.34,86.34
'Accel VIII','Accel',750.00,10.87,1.27,76.03,51.45,72.18
'Accel-KKR Capital Partners III','Accel-KKR',75.91,16.00,1.41,0.00,140.91,100.00
'Accel-KKR Capital Partners IV','Accel-KKR',477.26,12.93,1.75,1.07,174.04,92.55
'Accel-KKR Growth Capital Partners','Accel-KKR',694.16,15.30,1.67,44.83,122.08,91.91
'Accel-KKR Growth Capital Partners II','Accel-KKR',236.84,11.08,2.83,0.00,283.33,100.00
'Accel-KKR SCP California Co-Invest','Accel-KKR',1445.50,7.21,1.51,0.00,151.41,86.62
'Accelmed Growth Partners','Accelmed',1897.91,15.01,1.80,51.14,128.78,86.46
'Accent Equity 2003','Accent Equity Partners',105.76,30.30,2.12,0.00,211.60,86.60
'Accent Equity 2008','Accent Equity Partners',356.04,32.79,2.33,0.00,233.30,97.10
'Access Capital Co-investment Fund I','Access Capital Partners',648.45,13.78,1.68,0.01,167.73,99.80
'Access Capital Fund I - MMBO','Access Capital Partners',2519.68,13.79,1.91,24.10,166.83,95.57
'Access Capital Fund II - Mid Market Europe','Access Capital Partners',3262.05,15.16,1.75,65.47,109.04,93.66
'Access Capital Fund III - Mid Market Europe','Access Capital Partners',220.00,39.37,1.91,0.00,191.13,94.46
'Access Capital Fund IV - Growth Buyout Europe','Access Capital Partners',480.00,22.10,1.61,0.00,160.59,92.07
'Access Capital Fund V - Growth Buyout Europe','Access Capital Partners',1040.00,43.53,1.70,0.31,170.18,83.56
'Access Capital Fund VI - Growth Buyout Europe','Access Capital Partners',2854.00,8.46,1.42,1.30,140.64,87.67
"'Access Capital Fund VII - Growth Buyout Europe	'",'Access Capital Partners',5084.50,14.77,1.59,22.83,136.04,81.35
'Access Secondary Bridge Fund','Access Capital Partners',18.30,7.00,1.48,1.00,147.00,91.00
'Accolade Partners I','Accolade Partners',30.20,28.00,2.77,211.00,66.00,100.00
'Accolade Partners II','Accolade Partners',114.00,10.79,1.47,125.36,21.53,88.03
'Accolade Partners III','Accolade Partners',105.70,6.28,1.41,0.00,140.95,98.19
'Acorn General Fund One','Acorn Private Equity',17.10,33.73,2.37,0.00,237.20,95.00
'Actera Partners','Actera Group',247.90,3.51,1.21,0.00,120.50,97.00
'Actera Partners II','Actera Group',476.00,11.65,1.71,1.24,170.23,96.95
'Actis ASEAN Fund','Actis',730.50,11.13,1.75,10.10,165.13,99.30
'Actis Africa Empowerment Fund','Actis',858.10,6.84,1.45,21.85,122.74,96.50
'Actis Africa Fund 2','Actis',1022.10,12.29,1.61,72.80,87.82,98.50
'Actis China Fund 2','Actis',273.30,16.67,1.35,107.16,27.62,90.50
'Actis Emerging Markets 3','Actis',150.00,9.46,1.58,43.58,114.63,99.00
'Actis Energy Infrastructure Fund I','Actis',150.50,12.12,1.64,62.26,101.51,99.50
'Actis Energy Infrastructure Fund III','Actis',85.50,13.55,1.60,77.94,81.63,98.00
'Actis India Fund 2','Actis',110.80,13.82,1.59,88.60,70.10,97.00
'Actis South Asia Fund 2','Actis',100.80,14.62,1.52,99.10,53.37,96.50
'Actis Umbrella Fund','Actis',91.10,14.46,1.42,101.90,39.89,91.50
'Activum SG Iberia Fund I','Activum SG Capital Management',81.00,16.12,1.40,106.88,33.15,89.00
'Acto Mezzanine II','Andera Partners',81.00,15.44,1.32,109.18,23.26,86.00
'Adams Capital Management','Adams Capital Management',70.70,12.20,1.18,102.30,15.49,58.22
'Adams Street 2016 Global Fund','Adams Street Partners',207.70,26.87,1.21,100.66,20.29,51.75
'Adams Street 2016 Venture/Growth Fund','Adams Street Partners',151.50,8.42,1.51,10.66,140.74,94.50
'Adams Street Co-Investment Fund III','Adams Street Partners',302.50,18.57,1.99,55.31,144.00,95.50
'Adams Street Global Opportunities 2006 Fund','Adams Street Partners',287.00,7.06,1.14,96.97,17.14,71.00
'Adams Street Global Opportunities 2007 Fund','Adams Street Partners',14.90,-10.40,0.55,0.00,54.86,100.00
'Adams Street Global Opportunities 2008 Fund','Adams Street Partners',50.00,2.40,1.16,0.00,116.41,88.76
'Adams Street Global Opportunities Secondary Fund','Adams Street Partners',50.00,-3.60,0.79,0.00,78.81,100.00
'Adams Street Global Opportunities Secondary Fund II','Adams Street Partners',150.00,-0.70,0.97,50.79,46.34,100.00
'Adams Street Partners 2013 Global Fund','Adams Street Partners',134.00,-6.40,0.78,46.66,31.04,100.00
'Adams Street Partners Co-Investment II','Adams Street Partners',200.00,9.50,1.24,92.65,31.45,90.00
'Adams Street Partners Direct Co-Investment','Adams Street Partners',122.00,32.50,1.26,94.91,31.35,68.00
'Adams Street Partnership Emerging Markets 2012 Fund','Adams Street Partners',153.03,4.10,1.22,87.75,34.57,85.32
'Adams Street Partnership Non-US 2003 Fund','Adams Street Partners',113.00,11.34,1.50,115.45,34.93,98.00
'Adams Street Partnership US 2010 Fund - Series B','Adams Street Partners',151.00,11.90,2.28,81.12,146.99,100.00
'Adams Street Venture Innovation Fund','Adams Street Partners',145.50,3.10,1.14,22.15,92.18,95.50
'Advanced Tech Ventures V','Advanced Technology Ventures',75.00,9.00,1.38,39.62,98.07,93.00
'Advanced Tech Ventures VI','Advanced Technology Ventures',36.80,4.30,1.09,92.74,16.65,65.00
'Advanced Technology Ventures VIII','Advanced Technology Ventures',138.00,13.10,1.77,85.43,91.32,95.00
'Advent Asia Pacific Special Situations Fund','Advent International',217.00,19.60,1.62,107.42,54.28,96.00
'Advent Atlantic','TA Associates',295.00,21.00,1.34,113.11,21.18,78.98
'Advent Atlantic & Pacific II','TA Associates',137.00,12.20,1.28,119.68,8.42,87.92
'Advent Atlantic & Pacific III','TA Associates',375.00,9.60,1.85,35.11,150.20,100.00
'Advent Central & Eastern Europe IV','Advent International',426.00,10.30,1.84,63.06,120.98,98.00
'Advent Chestnut II','TA Associates',276.00,17.40,2.15,107.94,106.61,100.00
'Advent Chestnut III','VCM',180.00,17.70,1.84,156.68,26.92,100.00
'Advent Company','TA Associates',54.00,21.58,2.36,0.00,236.34,100.00
'Advent Global Private Equity IV-A','Advent International',100.00,10.80,1.64,0.00,163.73,100.00
'Advent Global Private Equity V','Advent International',19.00,7.26,1.24,0.00,124.37,80.29
'Advent Global Private Equity VI','Advent International',225.00,-0.13,0.99,0.55,98.27,94.94
'Advent Global Private Equity VIII','Advent International',350.00,3.30,1.25,5.09,119.52,98.50
'Advent II','TA Associates',587.58,17.25,2.04,43.94,160.31,98.23
'Advent III','TA Associates',126.01,9.88,1.18,36.73,81.36,91.47
'Advent IV','TA Associates',369.70,33.88,2.53,79.74,172.90,94.83
'Advent Industrial II','TA Associates',109.00,411.09,1.39,61.36,77.35,26.76
'Advent Latin American Fund III','Advent International',43.00,-3.50,0.81,0.00,81.00,100.00
'Advent Latin American Fund V','Advent International',599.29,-46.30,0.56,55.56,0.00,20.45
'Advent V','TA Associates',423.70,3.37,1.33,9.20,124.04,100.00
'Aeriance Senior Tranches in Real Estate Loans 1','ÆRIANCE Investments',135.00,78.00,8.07,0.00,807.06,100.22
'Aether Real Assets II','Aether Investment Partners',150.00,188.44,19.62,0.00,1962.00,100.00
'Aetos Capital Asia II','Aetos Capital Real Estate',47.00,14.85,4.58,83.33,375.00,80.00
'Aetos Capital Asia IV','Aetos Capital Real Estate',770.00,4.69,1.45,1.26,143.43,80.33
'Affinity Ventures IV','Affinity Capital Management',600.00,23.30,3.62,199.38,162.49,97.95
'Affinity Ventures V','Affinity Capital Management',750.00,36.37,2.32,103.50,128.69,94.34
'African Lion','Lion Manager',155.00,29.40,2.56,37.90,217.68,99.45
'African Lion II','Lion Manager',325.00,12.45,1.21,82.60,38.42,71.87
'Agroindustrial and Forestry Development Investment Fund','AC Capitales',5.00,42.60,2.24,33.77,189.77,92.19
'Aisling Capital II','Aisling Capital',130.00,45.70,1.52,83.33,68.89,68.70
'Aisling Capital III','Aisling Capital',304.48,28.40,1.62,8.40,153.70,99.90
'Aisling Capital IV','Aisling Capital',513.76,4.60,1.20,14.42,105.58,85.74
'Aksia Capital III','Aksìa Group',236.56,14.50,1.39,125.00,14.08,68.70
'Aksia Capital IV','Aksìa Group',122.04,14.10,1.77,0.00,177.00,100.00
'Al Islamic Far Eastern Real Estate Fund','ARA Asset Management',151.19,8.80,1.46,0.00,146.00,95.60
'Alchemy Special Opportunities Fund','Alchemy Partners',405.68,6.60,1.50,9.00,141.00,90.83
'Alchemy Special Opportunities Fund II','Alchemy Partners',669.29,9.60,1.58,6.00,152.00,95.00
'Alchemy Special Opportunities Fund III','Alchemy Partners',668.99,10.20,1.58,24.00,134.00,87.00
'Alcion Real Estate Partners','Alcion Ventures',716.27,13.00,1.36,115.00,21.00,74.80
